incident_year,incident_month,incident_category,count
2019,1,Fraud,407
2019,1,Gambling,2
2019,1,Homicide,1
2019,1,"Human Trafficking (A), Commercial Sex Acts",1
2019,1,Larceny Theft,3683
2019,1,Liquor Laws,1
2019,1,Lost Property,426
2019,1,Malicious Mischief,719
2019,1,Miscellaneous Investigation,113
2019,1,Missing Person,285
2019,1,Motor Vehicle Theft,419
2019,1,Motor Vehicle Theft?,3
2019,1,Non-Criminal,754
2019,1,Offences Against The Family And Children,177
2019,1,Other,95
2019,1,Other Miscellaneous,895
2019,1,Other Offenses,99
2019,1,Prostitution,35
2019,1,Rape,7
2019,1,Recovered Vehicle,390
2019,1,Robbery,290
2019,1,Sex Offense,14
2019,1,Stolen Property,83
2019,1,Suicide,10
2019,1,Suspicious Occ,236
2019,1,Traffic Collision,26
2019,1,Traffic Violation Arrest,150
2019,1,Vandalism,16
2019,1,Vehicle Impounded,8
2019,1,Vehicle Misplaced,5
2019,1,Warrant,439
2019,1,Weapons Carrying Etc,78
2019,1,Weapons Offense,87
2019,2,Arson,18
2019,2,Assault,533
2019,2,Burglary,468
2019,2,Case Closure,90
2019,2,Civil Sidewalks,28
2019,2,Courtesy Report,27
2019,2,Disorderly Conduct,214
2019,2,Drug Offense,274
2019,2,Drug Violation,1
2019,2,Embezzlement,16
2019,2,Fire Report,11
2019,2,Forgery And Counterfeiting,51
2019,2,Fraud,395
2019,2,Gambling,1
2019,2,Larceny Theft,3416
2019,2,Lost Property,445
2019,2,Malicious Mischief,607
2019,2,Miscellaneous Investigation,104
2019,2,Missing Person,250
2019,2,Motor Vehicle Theft,398
2019,2,Motor Vehicle Theft?,2
2019,2,Non-Criminal,654
2019,2,Offences Against The Family And Children,156
2019,2,Other,100
2019,2,Other Miscellaneous,814
2019,2,Other Offenses,70
2019,2,Prostitution,56
2019,2,Rape,3
2019,2,Recovered Vehicle,319
2019,2,Robbery,228
2019,2,Sex Offense,16
2019,2,Stolen Property,58
2019,2,Suicide,4
2019,2,Suspicious Occ,197
2019,2,Traffic Collision,24
2019,2,Traffic Violation Arrest,157
2019,2,Vandalism,12
2019,2,Vehicle Impounded,17
2019,2,Vehicle Misplaced,5
2019,2,Warrant,429
2019,2,Weapons Carrying Etc,63
2019,2,Weapons Offense,60
2019,3,Arson,20
2019,3,Assault,800
2019,3,Burglary,526
2019,3,Case Closure,63
2019,3,Civil Sidewalks,29
2019,3,Courtesy Report,36
2019,3,Disorderly Conduct,251
2019,3,Drug Offense,291
2019,3,Drug Violation,2
2019,3,Embezzlement,17
2019,3,Fire Report,14
2019,3,Forgery And Counterfeiting,52
2019,3,Fraud,387
2019,3,Homicide,1
2019,3,"Human Trafficking (A), Commercial Sex Acts",1
2019,3,"Human Trafficking, Commercial Sex Acts",1
2019,3,Larceny Theft,3544
2019,3,Liquor Laws,1
2019,3,Lost Property,515
2019,3,Malicious Mischief,705
2019,3,Miscellaneous Investigation,116
2019,3,Missing Person,282
2019,3,Motor Vehicle Theft,415
2019,3,Motor Vehicle Theft?,1
2019,3,Non-Criminal,753
2019,3,Offences Against The Family And Children,171
2019,3,Other,82
2019,3,Other Miscellaneous,808
2019,3,Other Offenses,79
2019,3,Prostitution,33
2019,3,Rape,2
2019,3,Recovered Vehicle,340
2019,3,Robbery,250
2019,3,Sex Offense,6
2019,3,Stolen Property,54
2019,3,Suicide,4
2019,3,Suspicious,1
2019,3,Suspicious Occ,231
2019,3,Traffic Collision,23
2019,3,Traffic Violation Arrest,124
2019,3,Vandalism,11
2019,3,Vehicle Impounded,15
2019,3,Vehicle Misplaced,4
2019,3,Warrant,418
2019,3,Weapons Carrying Etc,53
2019,3,Weapons Offence,1
2019,3,Weapons Offense,59
2019,4,Arson,22
2019,4,Assault,694
2019,4,Burglary,493
2019,4,Case Closure,55
2019,4,Civil Sidewalks,17
2019,4,Courtesy Report,44
2019,4,Disorderly Conduct,197
2019,4,Drug Offense,303
2019,4,Drug Violation,1
2019,4,Embezzlement,6
2019,4,Fire Report,3
2019,4,Forgery And Counterfeiting,45
2019,4,Fraud,408
2019,4,Homicide,1
2019,4,"Human Trafficking (A), Commercial Sex Acts",2
2019,4,Larceny Theft,3483
2019,4,Liquor Laws,1
2019,4,Lost Property,499
2019,4,Malicious Mischief,736
2019,4,Miscellaneous Investigation,127
2019,4,Missing Person,289
2019,4,Motor Vehicle Theft,443
2019,4,Motor Vehicle Theft?,2
2019,4,Non-Criminal,732
2019,4,Offences Against The Family And Children,145
2019,4,Other,68
2019,4,Other Miscellaneous,880
2019,4,Other Offenses,104
2019,4,Prostitution,22
2019,4,Rape,1
2019,4,Recovered Vehicle,337
2019,4,Robbery,256
2019,4,Sex Offense,16
2019,4,Stolen Property,52
2019,4,Suicide,8
2019,4,Suspicious Occ,287
2019,4,Traffic Collision,27
2019,4,Traffic Violation Arrest,168
2019,4,Vandalism,19
2019,4,Vehicle Impounded,4
2019,4,Vehicle Misplaced,2
2019,4,Warrant,497
2019,4,Weapons Carrying Etc,43
2019,4,Weapons Offense,74
2019,5,Arson,24
2019,5,Assault,774
2019,5,Burglary,535
2019,5,Case Closure,51
2019,5,Civil Sidewalks,13
2019,5,Courtesy Report,41
2019,5,Disorderly Conduct,241
2019,5,Drug Offense,280
2019,5,Drug Violation,3
2019,5,Embezzlement,24
2019,5,Fire Report,7
2019,5,Forgery And Counterfeiting,53
2019,5,Fraud,403
2019,5,Homicide,2
2019,5,Larceny Theft,3761
2019,5,Lost Property,416
2019,5,Malicious Mischief,684
2019,5,Miscellaneous Investigation,120
2019,5,Missing Person,261
2019,5,Motor Vehicle Theft,449
2019,5,Motor Vehicle Theft?,1
2019,5,Non-Criminal,734
2019,5,Offences Against The Family And Children,169
2019,5,Other,84
2019,5,Other Miscellaneous,930
2019,5,Other Offenses,89
2019,5,Prostitution,60
2019,5,Rape,3
2019,5,Recovered Vehicle,371
2019,5,Robbery,256
2019,5,Sex Offense,14
2019,5,Stolen Property,64
2019,5,Suicide,5
2019,5,Suspicious,2
2019,5,Suspicious Occ,269
2019,5,Traffic Collision,32
2019,5,Traffic Violation Arrest,170
2019,5,Vandalism,18
2019,5,Vehicle Impounded,16
2019,5,Vehicle Misplaced,4
2019,5,Warrant,480
2019,5,Weapons Carrying Etc,74
2019,5,Weapons Offence,1
2019,5,Weapons Offense,64
2019,6,Arson,19
2019,6,Assault,794
2019,6,Burglary,429
2019,6,Case Closure,56
2019,6,Civil Sidewalks,25
2019,6,Courtesy Report,45
2019,6,Disorderly Conduct,213
2019,6,Drug Offense,275
2019,6,Drug Violation,6
2019,6,Embezzlement,15
2019,6,Fire Report,12
2019,6,Forgery And Counterfeiting,59
2019,6,Fraud,395
2019,6,Homicide,4
2019,6,Larceny Theft,3957
2019,6,Liquor Laws,1
2019,6,Lost Property,448
2019,6,Malicious Mischief,741
2019,6,Miscellaneous Investigation,118
2019,6,Missing Person,284
2019,6,Motor Vehicle Theft,460
2019,6,Motor Vehicle Theft?,2
2019,6,Non-Criminal,776
2019,6,Offences Against The Family And Children,158
2019,6,Other,85
2019,6,Other Miscellaneous,785
2019,6,Other Offenses,88
2019,6,Prostitution,9
2019,6,Rape,4
2019,6,Recovered Vehicle,355
2019,6,Robbery,274
2019,6,Sex Offense,22
2019,6,Stolen Property,52
2019,6,Suicide,6
2019,6,Suspicious Occ,251
2019,6,Traffic Collision,24
2019,6,Traffic Violation Arrest,117
2019,6,Vandalism,11
2019,6,Vehicle Impounded,17
2019,6,Vehicle Misplaced,4
2019,6,Warrant,439
2019,6,Weapons Carrying Etc,72
